# Title: December 2023 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-52.5,227.5,0.45,149
-52.5,232.5,0.36,146
-52.5,237.5,0.2,136
-52.5,242.5,0.01,118
-52.5,247.5,-0.12,109
-52.5,252.5,-0.21,96
-52.5,257.5,-0.32,78
-52.5,262.5,-0.43,55
-52.5,267.5,-0.52,36
-52.5,272.5,-0.59,26
-52.5,277.5,-0.62,24
-52.5,282.5,-0.52,33
-52.5,287.5,-0.22,60
-52.5,292.5,-0.32,60
-52.5,297.5,-0.23,89
-52.5,302.5,-0.01,128
-52.5,307.5,0.24,158
-52.5,312.5,0.25,159
-52.5,317.5,0.23,154
-52.5,322.5,0.28,153
-52.5,327.5,0.49,159
-52.5,332.5,0.59,160
-52.5,337.5,0.69,158
-52.5,342.5,0.82,163
-52.5,347.5,0.91,164
-52.5,352.5,0.88,172
-52.5,357.5,0.83,172
-47.5,2.5,0.84,169
-47.5,7.5,0.87,172
-47.5,12.5,0.89,173
-47.5,17.5,0.83,172
-47.5,22.5,1.05,172
-47.5,27.5,1.1,171
-47.5,32.5,0.87,170
-47.5,37.5,0.78,170
-47.5,42.5,0.64,168
-47.5,47.5,0.48,165
-47.5,52.5,0.44,165
-47.5,57.5,0.47,165
-47.5,62.5,0.53,166
-47.5,67.5,0.5,167
-47.5,72.5,0.5,171
-47.5,77.5,0.56,172
-47.5,82.5,0.67,174
-47.5,87.5,0.74,174
-47.5,92.5,0.65,174
-47.5,97.5,0.5,173
-47.5,102.5,0.31,171
-47.5,107.5,0.23,168
-47.5,112.5,0.24,169
-47.5,117.5,0.23,165
-47.5,122.5,0.13,158
-47.5,127.5,0.06,152
-47.5,132.5,0.08,145
-47.5,137.5,0.27,162
-47.5,142.5,0.52,169
-47.5,147.5,0.6,170
-47.5,152.5,0.51,168
-47.5,157.5,0.5,166
-47.5,162.5,0.42,155
-47.5,167.5,0.41,147
-47.5,172.5,0.35,144
-47.5,177.5,0.41,144
-47.5,182.5,0.53,150
-47.5,187.5,0.6,149
-47.5,192.5,0.62,152
-47.5,197.5,0.74,159
-47.5,202.5,0.82,160
-47.5,207.5,0.78,158
-47.5,212.5,0.67,155
-47.5,217.5,0.63,154
-47.5,222.5,0.62,162
-47.5,227.5,0.65,164
-47.5,232.5,0.7,164
-47.5,237.5,0.61,161
-47.5,242.5,0.44,158
-47.5,247.5,0.29,152
-47.5,252.5,0.1,135
-47.5,257.5,-0.15,113
-47.5,262.5,-0.31,80
-47.5,267.5,-0.51,46
-47.5,272.5,-0.61,29
-47.5,277.5,-0.64,28
-47.5,282.5,-0.56,37
-47.5,287.5,0.61,143
-47.5,292.5,-0.38,89
-47.5,297.5,-0.44,98
-47.5,302.5,-0.11,135
-47.5,307.5,0.26,157
-47.5,312.5,0.37,159
-47.5,317.5,0.36,158
-47.5,322.5,0.28,153
-47.5,327.5,0.33,147
-47.5,332.5,0.43,146
-47.5,337.5,0.55,138
-47.5,342.5,0.7,143
-47.5,347.5,0.81,162
-47.5,352.5,0.85,166
-47.5,357.5,0.92,169
-42.5,2.5,0.35,154
-42.5,7.5,0.42,154
-42.5,12.5,0.34,163
-42.5,17.5,0.6,169
-42.5,22.5,1.35,170
-42.5,27.5,1.18,170
-42.5,32.5,0.87,169
-42.5,37.5,0.69,167
-42.5,42.5,0.37,161
-42.5,47.5,0.09,149
-42.5,52.5,0.2,152
-42.5,57.5,0.39,159
-42.5,62.5,0.56,163
-42.5,67.5,0.68,165
-42.5,72.5,0.65,167
-42.5,77.5,0.8,172
-42.5,82.5,0.87,172
-42.5,87.5,0.84,173
-42.5,92.5,0.78,173
-42.5,97.5,0.71,173
-42.5,102.5,0.64,172
-42.5,107.5,0.62,173
-42.5,112.5,0.66,173
-42.5,117.5,0.59,174
-42.5,122.5,0.46,170
-42.5,127.5,0.3,163
-42.5,132.5,0.3,162
-42.5,137.5,0.49,167
-42.5,142.5,0.79,170
-42.5,147.5,0.9,170
-42.5,152.5,0.93,171
-42.5,157.5,0.76,170
-42.5,162.5,0.61,159
-42.5,167.5,0.62,147
-42.5,172.5,0.65,153
-42.5,177.5,0.52,150
-42.5,182.5,0.56,153
-42.5,187.5,0.74,155
-42.5,192.5,0.78,160
-42.5,197.5,0.96,165
-42.5,202.5,0.94,163
-42.5,207.5,0.83,161
-42.5,212.5,0.71,160
-42.5,217.5,0.62,158
-42.5,222.5,0.68,163
-42.5,227.5,0.85,168
-42.5,232.5,0.95,169
-42.5,237.5,0.98,167
-42.5,242.5,0.93,165
-42.5,247.5,0.76,166
-42.5,252.5,0.46,161
-42.5,257.5,0.11,138
-42.5,262.5,-0.29,85
-42.5,267.5,-0.66,46
-42.5,272.5,-0.8,32
-42.5,277.5,-0.79,36
-42.5,282.5,-0.63,49
-42.5,287.5,-0.02,123
-42.5,292.5,0.01,115
-42.5,297.5,-0.29,128
-42.5,302.5,-0.27,134
-42.5,307.5,-0.11,142
-42.5,312.5,0.05,154
-42.5,317.5,0.12,153
-42.5,322.5,0.13,147
-42.5,327.5,0.11,139
-42.5,332.5,0.17,131
-42.5,337.5,0.24,126
-42.5,342.5,0.23,122
-42.5,347.5,0.13,131
-42.5,352.5,0.35,153
-42.5,357.5,0.34,149
-37.5,2.5,-0.09,128
-37.5,7.5,0.1,140
-37.5,12.5,-0.08,138
-37.5,17.5,0.18,164
-37.5,22.5,0.6,168
-37.5,27.5,0.56,168
-37.5,32.5,0.4,166
-37.5,37.5,0.27,156
-37.5,42.5,0.14,149
-37.5,47.5,-0.11,136
-37.5,52.5,-0.1,133
-37.5,57.5,0.13,143
